session_no,trial_no,deg1,deg2,is_correct
1,1,135,270,0
1,2,300,75,1
1,3,30,270,1
1,4,30,345,1
1,5,240,0,1
1,6,45,285,0
1,7,30,270,1
1,8,345,120,1
1,9,60,105,1
1,10,75,165,1
2,1,150,225,1
2,2,150,300,1
2,3,195,210,1
2,4,135,105,1
2,5,135,285,1
2,6,330,75,1
2,7,180,30,1
2,8,15,60,1
2,9,300,15,1
2,10,210,255,1
3,1,210,270,1
3,2,45,150,1
3,3,195,15,1
3,4,90,210,1
3,5,195,150,1
3,6,0,90,1
3,7,195,255,1
3,8,165,105,1
3,9,105,75,1
3,10,165,105,1
4,1,300,60,1
4,2,135,150,1
4,3,45,255,1
4,4,75,150,1
4,5,270,330,1
4,6,345,150,1
4,7,0,270,1
4,8,0,135,1
4,9,255,150,1
4,10,45,30,1
5,1,120,0,1
5,2,285,300,1
5,3,240,210,1
5,4,45,90,0
5,5,210,120,1
5,6,135,240,1
5,7,240,30,1
5,8,195,315,1
5,9,240,330,1
5,10,0,60,1
