session_no,trial_no,deg1,deg2,is_correct
1,1,120,30,1
1,2,0,285,1
1,3,195,180,1
1,4,135,45,1
1,5,150,315,0
1,6,90,75,1
1,7,60,15,1
1,8,195,90,1
1,9,135,90,1
1,10,330,225,0
2,1,45,120,1
2,2,45,255,0
2,3,255,330,1
2,4,270,165,0
2,5,195,90,1
2,6,195,45,1
2,7,150,30,1
2,8,240,285,0
2,9,345,330,1
2,10,105,60,1
3,1,315,30,1
3,2,270,240,1
3,3,240,165,0
3,4,255,225,0
3,5,345,225,1
3,6,15,105,1
3,7,195,135,0
3,8,345,180,1
3,9,240,165,1
3,10,240,285,1
4,1,90,30,1
4,2,0,150,1
4,3,105,345,1
4,4,330,195,1
4,5,75,0,0
4,6,0,120,0
4,7,0,270,1
4,8,225,15,1
4,9,165,120,1
4,10,165,90,1
5,1,90,210,0
5,2,0,270,1
5,3,195,45,1
5,4,210,300,1
5,5,330,225,1
5,6,300,90,0
5,7,45,180,0
5,8,225,315,1
5,9,135,180,1
5,10,330,285,1
