session_no,trial_no,deg1,deg2,is_correct
1,1,15,330,1
1,2,60,195,1
1,3,60,0,1
1,4,120,0,0
1,5,60,330,1
1,6,15,90,0
1,7,255,315,1
1,8,120,180,1
1,9,300,15,1
1,10,195,255,0
2,1,225,195,1
2,2,180,45,1
2,3,105,120,1
2,4,0,30,1
2,5,345,75,1
2,6,210,330,0
2,7,300,270,1
2,8,75,150,1
2,9,225,270,0
2,10,105,330,0
3,1,90,195,1
3,2,180,225,1
3,3,15,255,1
3,4,105,345,0
3,5,240,150,1
3,6,195,105,0
3,7,165,15,0
3,8,75,300,1
3,9,0,45,1
3,10,105,150,1
4,1,180,195,1
4,2,225,150,0
4,3,195,165,0
4,4,90,240,1
4,5,210,0,1
4,6,180,225,1
4,7,15,180,1
4,8,225,45,1
4,9,225,90,0
4,10,150,165,1
5,1,270,255,1
5,2,0,15,1
5,3,210,195,1
5,4,150,210,1
5,5,270,120,1
5,6,75,195,1
5,7,315,0,1
5,8,270,240,1
5,9,135,285,1
5,10,135,45,0
6,1,255,45,0
6,2,30,60,1
6,3,345,120,1
6,4,210,150,1
6,5,270,90,1
6,6,105,240,1
6,7,330,315,1
6,8,75,210,0
6,9,195,210,0
6,10,30,240,1
7,1,135,60,0
7,2,45,180,1
7,3,105,300,1
7,4,75,15,1
7,5,90,150,0
7,6,15,225,0
7,7,315,270,1
7,8,330,60,1
7,9,30,330,0
7,10,60,255,1
8,1,15,0,0
8,2,30,270,1
8,3,285,0,1
8,4,270,255,1
8,5,270,315,0
8,6,330,345,1
8,7,30,45,0
8,8,60,0,0
8,9,240,60,0
8,10,240,0,1
9,1,90,0,1
9,2,240,0,0
9,3,30,135,1
9,4,105,180,1
9,5,120,315,1
9,6,285,165,0
9,7,0,0,1
9,8,90,345,0
9,9,15,105,0
9,10,345,75,0
10,1,240,75,0
10,2,30,60,1
10,3,165,300,0
10,4,150,210,0
10,5,300,0,0
10,6,150,75,0
10,7,150,210,1
10,8,180,75,1
10,9,210,195,1
10,10,255,0,0
