session_no,trial_no,deg1,deg2,is_correct
1,1,240,75,0
1,2,30,60,1
1,3,165,300,0
1,4,150,210,0
1,5,300,0,0
1,6,150,75,0
1,7,150,210,1
1,8,180,75,1
1,9,210,195,1
1,10,255,0,0
2,1,345,45,1
2,2,165,150,1
2,3,165,120,1
2,4,165,0,0
2,5,180,300,1
2,6,210,105,1
2,7,15,195,0
2,8,285,330,0
2,9,225,315,0
2,10,315,255,1
3,1,150,75,0
3,2,120,195,1
3,3,45,285,1
3,4,60,75,1
3,5,60,315,1
3,6,255,165,1
3,7,0,135,1
3,8,300,315,1
3,9,180,255,0
3,10,330,210,0
4,1,195,75,0
4,2,180,270,1
4,3,180,315,0
4,4,210,90,1
4,5,15,105,0
4,6,300,60,1
4,7,225,75,1
4,8,0,300,1
4,9,75,150,0
4,10,315,285,1
5,1,270,120,1
5,2,165,225,1
5,3,60,15,1
5,4,345,165,0
5,5,120,285,0
5,6,105,300,1
5,7,75,105,0
5,8,165,315,0
5,9,165,195,0
5,10,330,240,1
